かな,英語,ローマ字
ああ,that kind of,aa
あい,love,ai
あいかわらず,as usual,aikawarazu
あいさつ,greeting,aisatsu
あいしゃどう,eyeshadow,aishadō
あいじょう,love,aijō
あいす,ice,aisu
あいず,signal,aizu
あいすくりーむ,ice cream,aisukuriimu
あいすこーひー,iced coffee,aisukōhii
あいする,love,aisuru
あいだ,interval,aida
あいづち,responsive sounds,aizuchi
あいて,opponent,aite
あいであ,idea,aidea
あいどる,Japanese idol,aidoru
あいにく,unfortunately,ainiku
あいまい,ambiguous,aimai
あいろん,iron,airon
あう,meet,au
あうとれっと,outlet mall,autoretto
あえて,boldly,aete
あお,blue,ao
あおい,blue,aoi
あおじろい,pale,aojiroi
あおぞら,blue sky,aozora
あか,red,aka
あかい,red,akai
あかじ,deficit,akaji
あかちゃん,baby,akachan
あかり,light,akari
あがる,go up,agaru
あがる,get nervous,agaru
あがる,be completed,agaru
あがる,eat,agaru
あかるい,bright,akarui
あかんぼう,baby,akanbō
あき,autumn,aki
あき,gap,aki
あき,vacancy,aki
あきかぜ,autumn breeze,akikaze
あきち,unoccupied ground,akichi
あきらか,clear,akiraka
あきらめる,abandon,akirameru
あきる,be fed up,akiru
あきれる,be stunned in disappointment or disbelief,akireru
あく,open,aku
あく,become available or vacant,aku
あく,evil,aku
あくしつ,bad,akushitsu
あくしゅ,handshake,akushu
あくじょ,wicked woman,akujo
あくせさりー,accessories,akusesarii
あくせんと,accent,akusento
あくび,yawn,akubi
あくよう,abuse,akuyō
あぐら,sit cross legged,agura
あけがた,dawn,akegata
あける,open,akeru
あける,to dawn,akeru
あける,empty,akeru
あげる,give,ageru
あげる,raise,ageru
あげる,cite,ageru
あげる,deep-fry,ageru
あご,jaw,ago
あこがれ,yearning,akogare
あこがれる,yearn after,akogareru
あさ,morning,asa
あさい,shallow,asai
あさがお,morning glory,asagao
あさごはん,breakfast,asagohan
あさって,day after tomorrow,asatte
あさひ,morning sun,asahi
あざやか,vivid,azayaka
あし,leg,ashi
あじ,taste,aji
あしあと,footprint,ashiato
あしおと,sound of footsteps,ashioto
あしくび,ankle,ashikubi
あじさい,hydrangea,ajisai
あした,tomorrow,ashita
あしもと,step,ashimoto
あじわう,taste,ajiwau
あす,tomorrow,asu
あずかる,receive on deposit,azukaru
あずける,deposit,azukeru
あせ,sweat,ase
あせる,feel pressured,aseru
あそこ,over there,asoko
あそび,play,asobi
あそぶ,play,asobu
あたい,value,atai
あたいする,be worth,ataisuru
あたえる,give,ataeru
あたたか,warm,atataka
あたたかい,warm,atatakai
あたたまる,get warm,atatamaru
あたためる,warm,atatameru
あだな,nickname,adana
あたま,head,atama
あたらしい,new,atarashii
あたり,hit,atari
あたり,vicinity,atari
あたりまえ,of course,atarimae
あたる,hit,ataru
あちこち,all over,achikochi
あちら,way over there,achira
あちらこちら,all over,achirakochira
あつい,hot,atsui
あつい,hot (things,atsui
あつい,thick,atsui
あっか,worsening,akka
あつかう,handle,atsukau
あつぎ,heavy clothing,atsugi
あつさ,heat,atsusa
あつさ,thickness,atsusa
あっさり,plainly,assari
あっち,other side,atchi
あっぷ,close-up,appu
あつまり,gathering,atsumari
あつまる,gather,atsumaru
あつめる,collect,atsumeru
あつりょく,pressure,atsuryoku
あてさき,recipient,atesaki
あてな,name of recipient,atena
あてる,guess,ateru
あと,after,ato
あと,trace,ato
あとがき,postscript,atogaki
あとかたづけ,cleaning up,atokatazuke
あどばいす,advice,adobaisu
あとまわし,deferment,atomawashi
あともどり,turning back,atomodori
あな,hole,ana
あなうんさー,news reader,anaunsaa
あなた,you,anata
あに,older brother,ani
あね,older sister,ane
あぱーと,apartment,apaato
あばれる,act violently,abareru
あびる,take (a shower),abiru
あぶない,dangerous,abunai
あぶら,oil,abura
あぶら,fat,abura
あぶらえ,oil painting,aburae
あふれる,over flow,afureru
あまい,sweet,amai
あまえる,depend on,amaeru
あまぐ,rain gear,amagu
あまちゅあ,amateur,amachua
あまのがわ,Milky Way,amanogawa
あまやかす,be indulgent to,amayakasu
あまり,(not) much,amari
あまり,remainder,amari
あまる,remain over,amaru
あみ,net,ami
あみだくじ,ladder lottery,amidakuji
あむ,knit,amu
あめ,rain,ame
あめ,candy,ame
あめふり,rainfall,amefuri
あやしい,suspicious,ayashii
あやしむ,suspect,ayashimu
あやまち,fault,ayamachi
あやまり,error,ayamari
あやまる,apologize,ayamaru
あやまる,make a mistake,ayamaru
あらい,wild,arai
あらい,harsh,arai
あらいもの,dishes to be washed,araimono
あらう,wash,arau
あらかじめ,in advance,arakajime
あらし,storm,arashi
あらす,damage,arasu
あらすじ,outline,arasuji
あらそい,conflict,arasoi
あらそう,compete,arasō
あらた,new,arata
あらたまる,be renewed,aratamaru
あらためて,once again,aratamete
あらためる,reform,aratameru
あらわす,express,arawasu
あらわす,write,arawasu
あらわす,show,arawasu
あらわれ,embodiment,araware
あらわれる,appear,arawareru
あり,ant,ari
ありがたい,welcome,arigatai
ありがとう,thank you,arigatō
ありのまま,as it is,arinomama
ある,exist,aru
あるく,walk,aruku
あるこーる,alcohol,arukōru
あるばいと,casual job,arubaito
あるばむ,album,arubamu
あるふぁべっと,alphabet,arufabetto
あるみにうむ,aluminum,aruminiumu
あるみほいる,aluminum foil,arumihoiru
あれ,that over there,are
あれこれ,this and that,arekore
あれる,be wild,areru
あわす,match,awasu
あわせる,adjust,awaseru
あわただしい,busy,awatadashii
あわてる,be flurried,awateru
あん,plan,an
あんがい,unexpectedly,angai
あんき,memorization,anki
あんけーと,questionnaire,ankēto
あんしん,peace of mind,anshin
あんぜん,safety,anzen
あんてい,stability,antei
あんてな,antenna,antena
あんない,guide,annai
あんなに,that,annani
あんのじょう,as feared,annojō
あんまり,(not) that much,anmari
あんみつ,jelly & fruit dessert,anmitsu
い,stomach,i
いい,good,ii
いいあらわす,express,iiarawasu
いいかえす,talk back,iikaesu
いいかえる,express in different words,iikaeru
いいかげん,irresponsible,iikagen
いいかた,way of speaking,iikata
いいだす,begin to speak,iidasu
いいわけ,apology,iiwake
いいん,committee member,iin
いいんかい,committee,iinkai
いう,say,iu
いえ,house,ie
いえで,running away from home,iede
いか,below,ika
いか,squid,ika
いがい,unexpected,igai
